fecha,jornada,equipo_local,equipo_visitante,goles_local,goles_visitante
,1,Atlético Mineiro,Palmeiras,2,2
,1,Internacional,Athletico Paranaense,0,1
,1,Coritiba,Red Bull Bragantino,0,1
,1,Vitória,Remo,2,0
,1,Fluminense,Grêmio,2,1
,1,Corinthians,Bahia,1,2
,1,Chapecoense,Santos,4,2
,1,São Paulo,Flamengo,2,1
,1,Mirassol,Vasco da Gama,2,1
,1,Botafogo,Cruzeiro,4,0
,2,Flamengo,Internacional,1,1
,2,Red Bull Bragantino,Atlético Mineiro,1,0
,2,Santos,São Paulo,1,1
,2,Remo,Mirassol,2,2
,2,Palmeiras,Vitória,5,1
,2,Grêmio,Botafogo,5,3
,2,Bahia,Fluminense,1,1
,2,Vasco da Gama,Chapecoense,1,1
,2,Cruzeiro,Coritiba,1,2
,2,Athletico Paranaense,Corinthians,0,1
,3,Vitória,Flamengo,1,2
,3,Mirassol,Cruzeiro,2,2
,3,Chapecoense,Coritiba,3,3
,3,Atlético Mineiro,Remo,3,3
,3,Vasco da Gama,Bahia,0,1
,3,São Paulo,Grêmio,2,0
,3,Athletico Paranaense,Santos,2,1
,3,Fluminense,Botafogo,1,0
,3,Corinthians,Red Bull Bragantino,2,0
,3,Internacional,Palmeiras,1,3
,4,Flamengo,Mirassol,,
,4,Remo,Internacional,1,1
,4,Red Bull Bragantino,Athletico Paranaense,1,1
,4,Coritiba,São Paulo,0,1
,4,Cruzeiro,Corinthians,1,1
,4,Grêmio,Atlético Mineiro,2,1
,4,Palmeiras,Fluminense,2,1
,4,Santos,Vasco da Gama,2,1
,5,Mirassol,Santos,2,2
,5,Atlético Mineiro,Internacional,1,0
,5,Bahia,Vitória,1,1
,5,Corinthians,Coritiba,0,2
,5,Flamengo,Cruzeiro,2,0
,5,Remo,Fluminense,0,2
,5,Vasco da Gama,Palmeiras,2,1
,5,São Paulo,Chapecoense,2,0
,5,Grêmio,Red Bull Bragantino,1,1
,5,Athletico Paranaense,Botafogo,4,1
,6,Vitória,Atlético Mineiro,2,0
,6,Botafogo,Flamengo,0,3
,6,Internacional,Bahia,0,1
,6,Santos,Corinthians,1,1
,6,Fluminense,Athletico Paranaense,3,2
,6,Coritiba,Remo,1,0
,6,Palmeiras,Mirassol,1,0
,6,Cruzeiro,Vasco da Gama,3,3
,6,Red Bull Bragantino,São Paulo,1,2
,6,Chapecoense,Grêmio,1,1
,7,Bahia,Red Bull Bragantino,2,0
,7,Palmeiras,Botafogo,2,1
,7,Athletico Paranaense,Cruzeiro,2,1
,7,Atlético Mineiro,São Paulo,1,0
,7,Mirassol,Coritiba,0,1
,7,Santos,Internacional,1,2
,7,Vasco da Gama,Fluminense,3,2
,7,Grêmio,Vitória,2,0
,7,Flamengo,Remo,3,0
,7,Chapecoense,Corinthians,0,0
,8,Red Bull Bragantino,Botafogo,1,2
,8,Fluminense,Atlético Mineiro,1,0
,8,São Paulo,Palmeiras,0,1
,8,Remo,Bahia,4,1
,8,Athletico Paranaense,Coritiba,2,0
,8,Cruzeiro,Santos,0,0
,8,Vasco da Gama,Grêmio,2,1
,8,Vitória,Mirassol,1,0
,8,Internacional,Chapecoense,2,0
,8,Corinthians,Flamengo,1,1
,9,Internacional,São Paulo,1,1
,9,Botafogo,Mirassol,3,2
,9,Bahia,Athletico Paranaense,3,0
,9,Cruzeiro,Vitória,3,0
,9,Coritiba,Vasco da Gama,1,1
,9,Fluminense,Corinthians,3,1
,9,Chapecoense,Atlético Mineiro,0,4
,9,Santos,Remo,2,0
,9,Red Bull Bragantino,Flamengo,3,0
,9,Palmeiras,Grêmio,2,1
,10,São Paulo,Cruzeiro,4,1
,10,Coritiba,Fluminense,1,1
,10,Vasco da Gama,Botafogo,1,2
,10,Chapecoense,Vitória,1,1
,10,Atlético Mineiro,Athletico Paranaense,2,1
,10,Flamengo,Santos,3,1
,10,Bahia,Palmeiras,1,2
,10,Corinthians,Internacional,0,1
,10,Mirassol,Red Bull Bragantino,0,1
,10,Grêmio,Remo,0,0
,11,Vitória,São Paulo,2,0
,11,Remo,Vasco da Gama,1,1
,11,Mirassol,Bahia,1,2
,11,Santos,Atlético Mineiro,1,0
,11,Internacional,Grêmio,0,0
,11,Athletico Paranaense,Chapecoense,2,0
,11,Botafogo,Coritiba,2,2
,11,Fluminense,Flamengo,1,2
,11,Cruzeiro,Red Bull Bragantino,2,1
,11,Corinthians,Palmeiras,0,0
,12,Chapecoense,Botafogo,1,4
,12,Vasco da Gama,São Paulo,2,1
,12,Vitória,Corinthians,0,0
,12,Cruzeiro,Grêmio,2,0
,12,Internacional,Mirassol,1,2
,12,Coritiba,Atlético Mineiro,2,0
,12,Santos,Fluminense,2,3
,12,Red Bull Bragantino,Remo,4,2
,12,Palmeiras,Athletico Paranaense,1,0
,12,Flamengo,Bahia,2,0
,13,Remo,Cruzeiro,0,1
,13,Bahia,Santos,2,2
,13,Botafogo,Internacional,2,2
,13,São Paulo,Mirassol,1,0
,13,Grêmio,Coritiba,1,0
,13,Corinthians,Vasco da Gama,1,0
,13,Athletico Paranaense,Vitória,3,1
,13,Red Bull Bragantino,Palmeiras,0,1
